Voter,,,,,,
,,D. Abbott,E. Balls,A. Burbhm,D. Milliband,E. Milliband
1,Ms D Abbott MP  ,1,*,*,*,*
2,RtHon B W Ainsworth MP ,5,4,3,1,2
3,RtHon D Alexander MP ,5,3,4,1,2
4,Ms H Alexander MP ,*,*,1,2,3
5,Ms R Ali MP     ,5,3,4,1,2
6,Mr G Allen MP   ,*,*,*,1,2
7,Mr D Anderson MP ,5,1,4,3,2
8,Mr I Austin MP   ,5,1,3,2,4
9,Mr A E Bailey MP ,*,3,4,2,1
10,Mr W Bain MP    ,5,3,4,1,2
11,RtHon E M Balls MP ,*,1,*,*,*
12,Mr G R Banks MP ,*,3,4,1,2
13,RtHon K J Barron MP ,5,4,1,3,2
14,Mr H Bayley MP  ,5,3,4,1,2
15,RtHon M M Beckett MP ,*,*,*,*,1
16,Miss A Begg MP  ,5,3,4,2,1
17,Sir S Bell MP   ,*,2,*,1,*
18,RtHon H Benn MP ,*,*,*,2,1
19,Mr J E Benton MP ,*,4,1,2,3
20,Miss L Berger MP ,5,3,4,2,1
,,,,,,
21,Mr C Betts MP   ,*,*,1,*,2
22,Ms R Blackman-Woods MP ,*,*,2,*,1
23,RtHon H A Blears MP ,*,3,1,2,4
24,Mr T Blenkinsop MP ,*,1,*,2,*
25,Mr P Blomfield MP ,*,*,*,*,1
26,RtHon D Blunkett MP ,*,*,1,2,*
27,Mr B Bradshaw MP ,*,*,*,1,*
28,Mr K Brennan MP ,5,1,4,2,3
29,Ms L Brown MP   ,*,1,*,3,2
30,Mr R Brown MP   ,*,3,4,1,2
31,Mr C Bryant MP  ,5,2,3,1,4
32,Ms K Buck MP    ,*,*,*,*,1
33,Mr R H Burden MP ,*,3,*,1,2
34,RtHon A Burnham MP ,5,4,1,2,3
35,Mr L Byrne MP   ,*,2,*,1,3
36,Mr D Cairns MP  ,*,*,*,1,*
37,Mr A Campbell MP ,*,*,2,1,*
38,Mr R Campbell MP ,*,*,1,*,2
39,Mr M Cashman MEP,*,*,*,1,2
40,Mr M Caton MP   ,2,3,*,*,1
,,,,,,
41,Ms J Chapman MP ,*,*,*,1,*
42,Ms K Clark MP   ,1,2,4,5,3
43,RtHon T Clarke MP ,3,5,2,1,4
44,RtHon A Clwyd MP ,*,*,*,1,*
45,Mr V Coaker MP  ,*,1,4,2,3
46,Ms A Coffey MP  ,5,4,3,1,2
47,Mr M Connarty MP ,5,2,1,4,3
48,Ms R Cooper MP  ,*,2,*,1,*
49,Ms Y Cooper MP  ,*,1,*,*,*
50,Mr J Corbyn MP  ,1,*,*,*,2
51,Mr D Crausby MP ,5,1,4,2,3
52,Ms M Creagh MP  ,5,2,4,1,3
53,Miss S Creasy MP ,*,*,*,1,2
54,Mr J Cruddas MP ,4,2,5,1,3
55,Mr J Cryer MP   ,5,2,4,3,1
56,Mr A Cunningham MP ,5,3,4,1,2
57,Mr J Cunningham MP ,5,1,4,2,3
58,Mr T Cunningham MP ,*,1,4,3,2
59,Ms M Curran MP  ,5,4,3,2,1
60,Mr N Dakin MP   ,5,3,4,1,2
,,,,,,
61,Mr S Danczuk MP ,*,*,*,1,*
62,RtHon A Darling MP ,*,*,*,1,*
63,Mr W David MP   ,5,3,4,2,1
64,Mr I Davidson MP ,5,1,4,3,2
65,Mr G R Davies MP ,*,3,*,2,1
66,Ms G De Piero MP ,*,*,*,1,2
67,RtHon J Y Denham MP ,*,*,*,*,1
68,Mr J Dobbin MP  ,*,1,*,*,2
69,RtHon F G Dobson MP ,*,2,*,*,1
70,Mr T Docherty MP ,*,4,1,2,3
71,Mr B Donohoe MP ,5,3,4,1,2
